"STATISTIC","Statistic Label","TLIST(A1)","Year","C02076V03371","Single year of age","C02710V03278","Ability to speak Irish","UNIT","VALUE"
"F8006C01","Population 3 years and over","2016","2016","009","9 years","13","Non-Irish speakers","Number","17391"
"F8006C01","Population 3 years and over","2016","2016","009","9 years","98","Not stated","Number","1679"
"F8006C01","Population 3 years and over","2016","2016","010","10 years","07","Population","Number","64793"
"F8006C01","Population 3 years and over","2016","2016","010","10 years","12","All Irish speakers","Number","46727"
"F8006C01","Population 3 years and over","2016","2016","010","10 years","13","Non-Irish speakers","Number","16068"
"F8006C01","Population 3 years and over","2016","2016","010","10 years","98","Not stated","Number","1998"
"F8006C01","Population 3 years and over","2016","2016","011","11 years","07","Population","Number","64014"
"F8006C01","Population 3 years and over","2016","2016","011","11 years","12","All Irish speakers","Number","46961"
"F8006C01","Population 3 years and over","2016","2016","011","11 years","13","Non-Irish speakers","Number","15537"
"F8006C01","Population 3 years and over","2016","2016","011","11 years","98","Not stated","Number","1516"
"F8006C01","Population 3 years and over","2016","2016","012","12 years","07","Population","Number","64325"
"F8006C01","Population 3 years and over","2016","2016","012","12 years","12","All Irish speakers","Number","46938"
"F8006C01","Population 3 years and over","2016","2016","012","12 years","13","Non-Irish speakers","Number","15736"
"F8006C01","Population 3 years and over","2016","2016","012","12 years","98","Not stated","Number","1651"
"F8006C01","Population 3 years and over","2016","2016","013","13 years","07","Population","Number","63531"
"F8006C01","Population 3 years and over","2016","2016","013","13 years","12","All Irish speakers","Number","45912"
"F8006C01","Population 3 years and over","2016","2016","013","13 years","13","Non-Irish speakers","Number","16212"
"F8006C01","Population 3 years and over","2016","2016","013","13 years","98","Not stated","Number","1407"
"F8006C01","Population 3 years and over","2016","2016","014","14 years","07","Population","Number","62813"
"F8006C01","Population 3 years and over","2016","2016","014","14 years","12","All Irish speakers","Number","44669"
"F8006C01","Population 3 years and over","2016","2016","014","14 years","13","Non-Irish speakers","Number","16667"
"F8006C01","Population 3 years and over","2016","2016","014","14 years","98","Not stated","Number","1477"
"F8006C01","Population 3 years and over","2016","2016","015","15 years","07","Population","Number","61643"
"F8006C01","Population 3 years and over","2016","2016","015","15 years","12","All Irish speakers","Number","43063"
"F8006C01","Population 3 years and over","2016","2016","015","15 years","13","Non-Irish speakers","Number","17314"
"F8006C01","Population 3 years and over","2016","2016","015","15 years","98","Not stated","Number","1266"
"F8006C01","Population 3 years and over","2016","2016","016","16 years","07","Population","Number","60989"
"F8006C01","Population 3 years and over","2016","2016","016","16 years","12","All Irish speakers","Number","41205"
"F8006C01","Population 3 years and over","2016","2016","016","16 years","13","Non-Irish speakers","Number","18378"
"F8006C01","Population 3 years and over","2016","2016","016","16 years","98","Not stated","Number","1406"
"F8006C01","Population 3 years and over","2016","2016","017","17 years","07","Population","Number","61318"
"F8006C01","Population 3 years and over","2016","2016","017","17 years","12","All Irish speakers","Number","40953"
"F8006C01","Population 3 years and over","2016","2016","017","17 years","13","Non-Irish speakers","Number","19223"
"F8006C01","Population 3 years and over","2016","2016","017","17 years","98","Not stated","Number","1142"
"F8006C01","Population 3 years and over","2016","2016","018","18 years","07","Population","Number","61294"
"F8006C01","Population 3 years and over","2016","2016","018","18 years","12","All Irish speakers","Number","37072"
"F8006C01","Population 3 years and over","2016","2016","018","18 years","13","Non-Irish speakers","Number","21403"
"F8006C01","Population 3 years and over","2016","2016","018","18 years","98","Not stated","Number","2819"
"F8006C01","Population 3 years and over","2016","2016","019","19 years","07","Population","Number","57572"
"F8006C01","Population 3 years and over","2016","2016","019","19 years","12","All Irish speakers","Number","30484"
"F8006C01","Population 3 years and over","2016","2016","019","19 years","13","Non-Irish speakers","Number","25635"
"F8006C01","Population 3 years and over","2016","2016","019","19 years","98","Not stated","Number","1453"
"F8006C01","Population 3 years and over","2016","2016","020","20 years","07","Population","Number","56337"
"F8006C01","Population 3 years and over","2016","2016","020","20 years","12","All Irish speakers","Number","26227"
"F8006C01","Population 3 years and over","2016","2016","020","20 years","13","Non-Irish speakers","Number","27920"
"F8006C01","Population 3 years and over","2016","2016","020","20 years","98","Not stated","Number","2190"
"F8006C01","Population 3 years and over","2016","2016","021","21 years","07","Population","Number","54397"
"F8006C01","Population 3 years and over","2016","2016","021","21 years","12","All Irish speakers","Number","23606"
"F8006C01","Population 3 years and over","2016","2016","021","21 years","13","Non-Irish speakers","Number","29073"
"F8006C01","Population 3 years and over","2016","2016","021","21 years","98","Not stated","Number","1718"
"F8006C01","Population 3 years and over","2016","2016","022","22 years","07","Population","Number","54352"
"F8006C01","Population 3 years and over","2016","2016","022","22 years","12","All Irish speakers","Number","22451"
"F8006C01","Population 3 years and over","2016","2016","022","22 years","13","Non-Irish speakers","Number","30282"
"F8006C01","Population 3 years and over","2016","2016","022","22 years","98","Not stated","Number","1619"
"F8006C01","Population 3 years and over","2016","2016","023","23 years","07","Population","Number","53935"
"F8006C01","Population 3 years and over","2016","2016","023","23 years","12","All Irish speakers","Number","20819"
"F8006C01","Population 3 years and over","2016","2016","023","23 years","13","Non-Irish speakers","Number","31610"
"F8006C01","Population 3 years and over","2016","2016","023","23 years","98","Not stated","Number","1506"
"F8006C01","Population 3 years and over","2016","2016","024","24 years","07","Population","Number","54615"
"F8006C01","Population 3 years and over","2016","2016","024","24 years","12","All Irish speakers","Number","19744"
"F8006C01","Population 3 years and over","2016","2016","024","24 years","13","Non-Irish speakers","Number","33279"
"F8006C01","Population 3 years and over","2016","2016","024","24 years","98","Not stated","Number","1592"
"F8006C01","Population 3 years and over","2016","2016","025","25 years","07","Population","Number","57278"
"F8006C01","Population 3 years and over","2016","2016","025","25 years","12","All Irish speakers","Number","19071"
"F8006C01","Population 3 years and over","2016","2016","025","25 years","13","Non-Irish speakers","Number","35839"
"F8006C01","Population 3 years and over","2016","2016","025","25 years","98","Not stated","Number","2368"
"F8006C01","Population 3 years and over","2016","2016","026","26 years","07","Population","Number","56257"
"F8006C01","Population 3 years and over","2016","2016","026","26 years","12","All Irish speakers","Number","17808"
"F8006C01","Population 3 years and over","2016","2016","026","26 years","13","Non-Irish speakers","Number","36464"
"F8006C01","Population 3 years and over","2016","2016","026","26 years","98","Not stated","Number","1985"
"F8006C01","Population 3 years and over","2016","2016","027","27 years","07","Population","Number","61652"
"F8006C01","Population 3 years and over","2016","2016","027","27 years","12","All Irish speakers","Number","17560"
"F8006C01","Population 3 years and over","2016","2016","027","27 years","13","Non-Irish speakers","Number","36907"
"F8006C01","Population 3 years and over","2016","2016","027","27 years","98","Not stated","Number","7185"
"F8006C01","Population 3 years and over","2016","2016","028","28 years","07","Population","Number","59456"
"F8006C01","Population 3 years and over","2016","2016","028","28 years","12","All Irish speakers","Number","18113"
"F8006C01","Population 3 years and over","2016","2016","028","28 years","13","Non-Irish speakers","Number","39566"
"F8006C01","Population 3 years and over","2016","2016","028","28 years","98","Not stated","Number","1777"
"F8006C01","Population 3 years and over","2016","2016","029","29 years","07","Population","Number","62792"
"F8006C01","Population 3 years and over","2016","2016","029","29 years","12","All Irish speakers","Number","18712"
"F8006C01","Population 3 years and over","2016","2016","029","29 years","13","Non-Irish speakers","Number","42420"
"F8006C01","Population 3 years and over","2016","2016","029","29 years","98","Not stated","Number","1660"
"F8006C01","Population 3 years and over","2016","2016","030","30 years","07","Population","Number","68347"
"F8006C01","Population 3 years and over","2016","2016","030","30 years","12","All Irish speakers","Number","19427"
"F8006C01","Population 3 years and over","2016","2016","030","30 years","13","Non-Irish speakers","Number","44643"
"F8006C01","Population 3 years and over","2016","2016","030","30 years","98","Not stated","Number","4277"
"F8006C01","Population 3 years and over","2016","2016","031","31 years","07","Population","Number","68334"
"F8006C01","Population 3 years and over","2016","2016","031","31 years","12","All Irish speakers","Number","19522"
"F8006C01","Population 3 years and over","2016","2016","031","31 years","13","Non-Irish speakers","Number","47016"
"F8006C01","Population 3 years and over","2016","2016","031","31 years","98","Not stated","Number","1796"
"F8006C01","Population 3 years and over","2016","2016","032","32 years","07","Population","Number","71772"
"F8006C01","Population 3 years and over","2016","2016","032","32 years","12","All Irish speakers","Number","20769"
"F8006C01","Population 3 years and over","2016","2016","032","32 years","13","Non-Irish speakers","Number","49143"
"F8006C01","Population 3 years and over","2016","2016","032","32 years","98","Not stated","Number","1860"
"F8006C01","Population 3 years and over","2016","2016","033","33 years","07","Population","Number","75704"
"F8006C01","Population 3 years and over","2016","2016","033","33 years","12","All Irish speakers","Number","22227"
"F8006C01","Population 3 years and over","2016","2016","033","33 years","13","Non-Irish speakers","Number","51811"
"F8006C01","Population 3 years and over","2016","2016","033","33 years","98","Not stated","Number","1666"
"F8006C01","Population 3 years and over","2016","2016","034","34 years","07","Population","Number","77818"
"F8006C01","Population 3 years and over","2016","2016","034","34 years","12","All Irish speakers","Number","23151"
"F8006C01","Population 3 years and over","2016","2016","034","34 years","13","Non-Irish speakers","Number","52952"
"F8006C01","Population 3 years and over","2016","2016","034","34 years","98","Not stated","Number","1715"
"F8006C01","Population 3 years and over","2016","2016","035","35 years","07","Population","Number","81545"
"F8006C01","Population 3 years and over","2016","2016","035","35 years","12","All Irish speakers","Number","24313"
"F8006C01","Population 3 years and over","2016","2016","035","35 years","13","Non-Irish speakers","Number","54035"
"F8006C01","Population 3 years and over","2016","2016","035","35 years","98","Not stated","Number","3197"
"F8006C01","Population 3 years and over","2016","2016","036","36 years","07","Population","Number","83196"
"F8006C01","Population 3 years and over","2016","2016","036","36 years","12","All Irish speakers","Number","24706"
"F8006C01","Population 3 years and over","2016","2016","036","36 years","13","Non-Irish speakers","Number","53913"
"F8006C01","Population 3 years and over","2016","2016","036","36 years","98","Not stated","Number","4577"
"F8006C01","Population 3 years and over","2016","2016","037","37 years","07","Population","Number","77184"
"F8006C01","Population 3 years and over","2016","2016","037","37 years","12","All Irish speakers","Number","24334"
"F8006C01","Population 3 years and over","2016","2016","037","37 years","13","Non-Irish speakers","Number","51343"
"F8006C01","Population 3 years and over","2016","2016","037","37 years","98","Not stated","Number","1507"
"F8006C01","Population 3 years and over","2016","2016","038","38 years","07","Population","Number","74681"
"F8006C01","Population 3 years and over","2016","2016","038","38 years","12","All Irish speakers","Number","24324"
"F8006C01","Population 3 years and over","2016","2016","038","38 years","13","Non-Irish speakers","Number","48700"
"F8006C01","Population 3 years and over","2016","2016","038","38 years","98","Not stated","Number","1657"
"F8006C01","Population 3 years and over","2016","2016","039","39 years","07","Population","Number","72815"
"F8006C01","Population 3 years and over","2016","2016","039","39 years","12","All Irish speakers","Number","23883"
"F8006C01","Population 3 years and over","2016","2016","039","39 years","13","Non-Irish speakers","Number","47528"
"F8006C01","Population 3 years and over","2016","2016","039","39 years","98","Not stated","Number","1404"
"F8006C01","Population 3 years and over","2016","2016","040","40 years","07","Population","Number","73414"
"F8006C01","Population 3 years and over","2016","2016","040","40 years","12","All Irish speakers","Number","23232"
"F8006C01","Population 3 years and over","2016","2016","040","40 years","13","Non-Irish speakers","Number","47234"
"F8006C01","Population 3 years and over","2016","2016","040","40 years","98","Not stated","Number","2948"
"F8006C01","Population 3 years and over","2016","2016","041","41 years","07","Population","Number","71974"
"F8006C01","Population 3 years and over","2016","2016","041","41 years","12","All Irish speakers","Number","23548"
"F8006C01","Population 3 years and over","2016","2016","041","41 years","13","Non-Irish speakers","Number","46913"
"F8006C01","Population 3 years and over","2016","2016","041","41 years","98","Not stated","Number","1513"
"F8006C01","Population 3 years and over","2016","2016","042","42 years","07","Population","Number","71172"
"F8006C01","Population 3 years and over","2016","2016","042","42 years","12","All Irish speakers","Number","23331"
"F8006C01","Population 3 years and over","2016","2016","042","42 years","13","Non-Irish speakers","Number","46505"
"F8006C01","Population 3 years and over","2016","2016","042","42 years","98","Not stated","Number","1336"
"F8006C01","Population 3 years and over","2016","2016","043","43 years","07","Population","Number","71288"
"F8006C01","Population 3 years and over","2016","2016","043","43 years","12","All Irish speakers","Number","23089"
"F8006C01","Population 3 years and over","2016","2016","043","43 years","13","Non-Irish speakers","Number","46889"
"F8006C01","Population 3 years and over","2016","2016","043","43 years","98","Not stated","Number","1310"
"F8006C01","Population 3 years and over","2016","2016","044","44 years","07","Population","Number","69612"
"F8006C01","Population 3 years and over","2016","2016","044","44 years","12","All Irish speakers","Number","22411"
"F8006C01","Population 3 years and over","2016","2016","044","44 years","13","Non-Irish speakers","Number","45991"
"F8006C01","Population 3 years and over","2016","2016","044","44 years","98","Not stated","Number","1210"
"F8006C01","Population 3 years and over","2016","2016","045","45 years","07","Population","Number","70457"
"F8006C01","Population 3 years and over","2016","2016","045","45 years","12","All Irish speakers","Number","21433"
"F8006C01","Population 3 years and over","2016","2016","045","45 years","13","Non-Irish speakers","Number","45675"
"F8006C01","Population 3 years and over","2016","2016","045","45 years","98","Not stated","Number","3349"
"F8006C01","Population 3 years and over","2016","2016","046","46 years","07","Population","Number","67208"
"F8006C01","Population 3 years and over","2016","2016","046","46 years","12","All Irish speakers","Number","20745"
"F8006C01","Population 3 years and over","2016","2016","046","46 years","13","Non-Irish speakers","Number","44824"
"F8006C01","Population 3 years and over","2016","2016","046","46 years","98","Not stated","Number","1639"
"F8006C01","Population 3 years and over","2016","2016","047","47 years","07","Population","Number","63640"
"F8006C01","Population 3 years and over","2016","2016","047","47 years","12","All Irish speakers","Number","19403"
"F8006C01","Population 3 years and over","2016","2016","047","47 years","13","Non-Irish speakers","Number","43113"
"F8006C01","Population 3 years and over","2016","2016","047","47 years","98","Not stated","Number","1124"
"F8006C01","Population 3 years and over","2016","2016","048","48 years","07","Population","Number","62946"
"F8006C01","Population 3 years and over","2016","2016","048","48 years","12","All Irish speakers","Number","19129"
"F8006C01","Population 3 years and over","2016","2016","048","48 years","13","Non-Irish speakers","Number","42591"
"F8006C01","Population 3 years and over","2016","2016","048","48 years","98","Not stated","Number","1226"
"F8006C01","Population 3 years and over","2016","2016","049","49 years","07","Population","Number","61859"
"F8006C01","Population 3 years and over","2016","2016","049","49 years","12","All Irish speakers","Number","18297"
"F8006C01","Population 3 years and over","2016","2016","049","49 years","13","Non-Irish speakers","Number","42439"
"F8006C01","Population 3 years and over","2016","2016","049","49 years","98","Not stated","Number","1123"
"F8006C01","Population 3 years and over","2016","2016","050","50 years","07","Population","Number","61988"
"F8006C01","Population 3 years and over","2016","2016","050","50 years","12","All Irish speakers","Number","18166"
"F8006C01","Population 3 years and over","2016","2016","050","50 years","13","Non-Irish speakers","Number","41815"
"F8006C01","Population 3 years and over","2016","2016","050","50 years","98","Not stated","Number","2007"
"F8006C01","Population 3 years and over","2016","2016","051","51 years","07","Population","Number","61798"
"F8006C01","Population 3 years and over","2016","2016","051","51 years","12","All Irish speakers","Number","18247"
"F8006C01","Population 3 years and over","2016","2016","051","51 years","13","Non-Irish speakers","Number","42349"
"F8006C01","Population 3 years and over","2016","2016","051","51 years","98","Not stated","Number","1202"
"F8006C01","Population 3 years and over","2016","2016","052","52 years","07","Population","Number","60183"
"F8006C01","Population 3 years and over","2016","2016","052","52 years","12","All Irish speakers","Number","17946"
"F8006C01","Population 3 years and over","2016","2016","052","52 years","13","Non-Irish speakers","Number","41150"
"F8006C01","Population 3 years and over","2016","2016","052","52 years","98","Not stated","Number","1087"
"F8006C01","Population 3 years and over","2016","2016","053","53 years","07","Population","Number","58907"
"F8006C01","Population 3 years and over","2016","2016","053","53 years","12","All Irish speakers","Number","17475"
"F8006C01","Population 3 years and over","2016","2016","053","53 years","13","Non-Irish speakers","Number","40378"
"F8006C01","Population 3 years and over","2016","2016","053","53 years","98","Not stated","Number","1054"
"F8006C01","Population 3 years and over","2016","2016","054","54 years","07","Population","Number","57059"
"F8006C01","Population 3 years and over","2016","2016","054","54 years","12","All Irish speakers","Number","17358"
"F8006C01","Population 3 years and over","2016","2016","054","54 years","13","Non-Irish speakers","Number","38633"
"F8006C01","Population 3 years and over","2016","2016","054","54 years","98","Not stated","Number","1068"
"F8006C01","Population 3 years and over","2016","2016","055","55 years","07","Population","Number","57256"
"F8006C01","Population 3 years and over","2016","2016","055","55 years","12","All Irish speakers","Number","17959"
"F8006C01","Population 3 years and over","2016","2016","055","55 years","13","Non-Irish speakers","Number","37901"
"F8006C01","Population 3 years and over","2016","2016","055","55 years","98","Not stated","Number","1396"
"F8006C01","Population 3 years and over","2016","2016","056","56 years","07","Population","Number","54907"
"F8006C01","Population 3 years and over","2016","2016","056","56 years","12","All Irish speakers","Number","17498"
"F8006C01","Population 3 years and over","2016","2016","056","56 years","13","Non-Irish speakers","Number","36266"
"F8006C01","Population 3 years and over","2016","2016","056","56 years","98","Not stated","Number","1143"
"F8006C01","Population 3 years and over","2016","2016","057","57 years","07","Population","Number","54459"
"F8006C01","Population 3 years and over","2016","2016","057","57 years","12","All Irish speakers","Number","17179"
"F8006C01","Population 3 years and over","2016","2016","057","57 years","13","Non-Irish speakers","Number","34927"
"F8006C01","Population 3 years and over","2016","2016","057","57 years","98","Not stated","Number","2353"
"F8006C01","Population 3 years and over","2016","2016","058","58 years","07","Population","Number","52428"
"F8006C01","Population 3 years and over","2016","2016","058","58 years","12","All Irish speakers","Number","17325"
"F8006C01","Population 3 years and over","2016","2016","058","58 years","13","Non-Irish speakers","Number","34090"
"F8006C01","Population 3 years and over","2016","2016","058","58 years","98","Not stated","Number","1013"
"F8006C01","Population 3 years and over","2016","2016","059","59 years","07","Population","Number","51052"
"F8006C01","Population 3 years and over","2016","2016","059","59 years","12","All Irish speakers","Number","16966"
"F8006C01","Population 3 years and over","2016","2016","059","59 years","13","Non-Irish speakers","Number","33109"
"F8006C01","Population 3 years and over","2016","2016","059","59 years","98","Not stated","Number","977"
"F8006C01","Population 3 years and over","2016","2016","060","60 years","07","Population","Number","49865"
"F8006C01","Population 3 years and over","2016","2016","060","60 years","12","All Irish speakers","Number","16607"
"F8006C01","Population 3 years and over","2016","2016","060","60 years","13","Non-Irish speakers","Number","31796"
"F8006C01","Population 3 years and over","2016","2016","060","60 years","98","Not stated","Number","1462"
"F8006C01","Population 3 years and over","2016","2016","061","61 years","07","Population","Number","49245"
"F8006C01","Population 3 years and over","2016","2016","061","61 years","12","All Irish speakers","Number","16742"
"F8006C01","Population 3 years and over","2016","2016","061","61 years","13","Non-Irish speakers","Number","31486"
"F8006C01","Population 3 years and over","2016","2016","061","61 years","98","Not stated","Number","1017"
"F8006C01","Population 3 years and over","2016","2016","062","62 years","07","Population","Number","47300"
"F8006C01","Population 3 years and over","2016","2016","062","62 years","12","All Irish speakers","Number","16230"
"F8006C01","Population 3 years and over","2016","2016","062","62 years","13","Non-Irish speakers","Number","30049"
"F8006C01","Population 3 years and over","2016","2016","062","62 years","98","Not stated","Number","1021"
"F8006C01","Population 3 years and over","2016","2016","063","63 years","07","Population","Number","47402"
"F8006C01","Population 3 years and over","2016","2016","063","63 years","12","All Irish speakers","Number","16087"
"F8006C01","Population 3 years and over","2016","2016","063","63 years","13","Non-Irish speakers","Number","30320"
"F8006C01","Population 3 years and over","2016","2016","063","63 years","98","Not stated","Number","995"
"F8006C01","Population 3 years and over","2016","2016","064","64 years","07","Population","Number","45044"
"F8006C01","Population 3 years and over","2016","2016","064","64 years","12","All Irish speakers","Number","15115"
"F8006C01","Population 3 years and over","2016","2016","064","64 years","13","Non-Irish speakers","Number","28925"
"F8006C01","Population 3 years and over","2016","2016","064","64 years","98","Not stated","Number","1004"
"F8006C01","Population 3 years and over","2016","2016","065","65 years","07","Population","Number","44156"
"F8006C01","Population 3 years and over","2016","2016","065","65 years","12","All Irish speakers","Number","14200"
"F8006C01","Population 3 years and over","2016","2016","065","65 years","13","Non-Irish speakers","Number","28730"
"F8006C01","Population 3 years and over","2016","2016","065","65 years","98","Not stated","Number","1226"
"F8006C01","Population 3 years and over","2016","2016","066","66 years","07","Population","Number","43546"
"F8006C01","Population 3 years and over","2016","2016","066","66 years","12","All Irish speakers","Number","13703"
"F8006C01","Population 3 years and over","2016","2016","066","66 years","13","Non-Irish speakers","Number","28650"
"F8006C01","Population 3 years and over","2016","2016","066","66 years","98","Not stated","Number","1193"
"F8006C01","Population 3 years and over","2016","2016","067","67 years","07","Population","Number","42442"
"F8006C01","Population 3 years and over","2016","2016","067","67 years","12","All Irish speakers","Number","13314"
"F8006C01","Population 3 years and over","2016","2016","067","67 years","13","Non-Irish speakers","Number","28114"
"F8006C01","Population 3 years and over","2016","2016","067","67 years","98","Not stated","Number","1014"
"F8006C01","Population 3 years and over","2016","2016","068","68 years","07","Population","Number","41389"
"F8006C01","Population 3 years and over","2016","2016","068","68 years","12","All Irish speakers","Number","12993"
"F8006C01","Population 3 years and over","2016","2016","068","68 years","13","Non-Irish speakers","Number","27384"
"F8006C01","Population 3 years and over","2016","2016","068","68 years","98","Not stated","Number","1012"
"F8006C01","Population 3 years and over","2016","2016","069","69 years","07","Population","Number","39703"
"F8006C01","Population 3 years and over","2016","2016","069","69 years","12","All Irish speakers","Number","12488"
"F8006C01","Population 3 years and over","2016","2016","069","69 years","13","Non-Irish speakers","Number","26260"
"F8006C01","Population 3 years and over","2016","2016","069","69 years","98","Not stated","Number","955"
"F8006C01","Population 3 years and over","2016","2016","070","70 years","07","Population","Number","37821"
"F8006C01","Population 3 years and over","2016","2016","070","70 years","12","All Irish speakers","Number","12200"
"F8006C01","Population 3 years and over","2016","2016","070","70 years","13","Non-Irish speakers","Number","24426"
"F8006C01","Population 3 years and over","2016","2016","070","70 years","98","Not stated","Number","1195"
"F8006C01","Population 3 years and over","2016","2016","071","71 years","07","Population","Number","34612"
"F8006C01","Population 3 years and over","2016","2016","071","71 years","12","All Irish speakers","Number","11151"
"F8006C01","Population 3 years and over","2016","2016","071","71 years","13","Non-Irish speakers","Number","22426"
"F8006C01","Population 3 years and over","2016","2016","071","71 years","98","Not stated","Number","1035"
"F8006C01","Population 3 years and over","2016","2016","072","72 years","07","Population","Number","32430"
"F8006C01","Population 3 years and over","2016","2016","072","72 years","12","All Irish speakers","Number","10355"
"F8006C01","Population 3 years and over","2016","2016","072","72 years","13","Non-Irish speakers","Number","21195"
"F8006C01","Population 3 years and over","2016","2016","072","72 years","98","Not stated","Number","880"
"F8006C01","Population 3 years and over","2016","2016","073","73 years","07","Population","Number","30219"
"F8006C01","Population 3 years and over","2016","2016","073","73 years","12","All Irish speakers","Number","9434"
"F8006C01","Population 3 years and over","2016","2016","073","73 years","13","Non-Irish speakers","Number","19894"
"F8006C01","Population 3 years and over","2016","2016","073","73 years","98","Not stated","Number","891"
"F8006C01","Population 3 years and over","2016","2016","074","74 years","07","Population","Number","27190"
"F8006C01","Population 3 years and over","2016","2016","074","74 years","12","All Irish speakers","Number","8515"
"F8006C01","Population 3 years and over","2016","2016","074","74 years","13","Non-Irish speakers","Number","17845"
"F8006C01","Population 3 years and over","2016","2016","074","74 years","98","Not stated","Number","830"
"F8006C01","Population 3 years and over","2016","2016","075","75 years","07","Population","Number","25449"
"F8006C01","Population 3 years and over","2016","2016","075","75 years","12","All Irish speakers","Number","8005"
"F8006C01","Population 3 years and over","2016","2016","075","75 years","13","Non-Irish speakers","Number","16570"
"F8006C01","Population 3 years and over","2016","2016","075","75 years","98","Not stated","Number","874"
"F8006C01","Population 3 years and over","2016","2016","076","76 years","07","Population","Number","24710"
"F8006C01","Population 3 years and over","2016","2016","076","76 years","12","All Irish speakers","Number","7581"
"F8006C01","Population 3 years and over","2016","2016","076","76 years","13","Non-Irish speakers","Number","16360"
"F8006C01","Population 3 years and over","2016","2016","076","76 years","98","Not stated","Number","769"
"F8006C01","Population 3 years and over","2016","2016","077","77 years","07","Population","Number","23342"
"F8006C01","Population 3 years and over","2016","2016","077","77 years","12","All Irish speakers","Number","7299"
"F8006C01","Population 3 years and over","2016","2016","077","77 years","13","Non-Irish speakers","Number","15389"
"F8006C01","Population 3 years and over","2016","2016","077","77 years","98","Not stated","Number","654"
"F8006C01","Population 3 years and over","2016","2016","078","78 years","07","Population","Number","21489"
"F8006C01","Population 3 years and over","2016","2016","078","78 years","12","All Irish speakers","Number","6629"
"F8006C01","Population 3 years and over","2016","2016","078","78 years","13","Non-Irish speakers","Number","14254"
"F8006C01","Population 3 years and over","2016","2016","078","78 years","98","Not stated","Number","606"
"F8006C01","Population 3 years and over","2016","2016","079","79 years","07","Population","Number","20477"
"F8006C01","Population 3 years and over","2016","2016","079","79 years","12","All Irish speakers","Number","6331"
"F8006C01","Population 3 years and over","2016","2016","079","79 years","13","Non-Irish speakers","Number","13557"
"F8006C01","Population 3 years and over","2016","2016","079","79 years","98","Not stated","Number","589"
"F8006C01","Population 3 years and over","2016","2016","080","80 years","07","Population","Number","19287"
"F8006C01","Population 3 years and over","2016","2016","080","80 years","12","All Irish speakers","Number","6002"
"F8006C01","Population 3 years and over","2016","2016","080","80 years","13","Non-Irish speakers","Number","12591"
"F8006C01","Population 3 years and over","2016","2016","080","80 years","98","Not stated","Number","694"
"F8006C01","Population 3 years and over","2016","2016","081","81 years","07","Population","Number","17821"
"F8006C01","Population 3 years and over","2016","2016","081","81 years","12","All Irish speakers","Number","5530"
"F8006C01","Population 3 years and over","2016","2016","081","81 years","13","Non-Irish speakers","Number","11711"
"F8006C01","Population 3 years and over","2016","2016","081","81 years","98","Not stated","Number","580"
"F8006C01","Population 3 years and over","2016","2016","082","82 years","07","Population","Number","16339"
"F8006C01","Population 3 years and over","2016","2016","082","82 years","12","All Irish speakers","Number","5148"
"F8006C01","Population 3 years and over","2016","2016","082","82 years","13","Non-Irish speakers","Number","10621"
"F8006C01","Population 3 years and over","2016","2016","082","82 years","98","Not stated","Number","570"
"F8006C01","Population 3 years and over","2016","2016","083","83 years","07","Population","Number","14484"
"F8006C01","Population 3 years and over","2016","2016","083","83 years","12","All Irish speakers","Number","4543"
"F8006C01","Population 3 years and over","2016","2016","083","83 years","13","Non-Irish speakers","Number","9390"
"F8006C01","Population 3 years and over","2016","2016","083","83 years","98","Not stated","Number","551"
"F8006C01","Population 3 years and over","2016","2016","084","84 years","07","Population","Number","13106"
"F8006C01","Population 3 years and over","2016","2016","084","84 years","12","All Irish speakers","Number","4158"
"F8006C01","Population 3 years and over","2016","2016","084","84 years","13","Non-Irish speakers","Number","8436"
"F8006C01","Population 3 years and over","2016","2016","084","84 years","98","Not stated","Number","512"
"F8006C01","Population 3 years and over","2016","2016","085","85 years","07","Population","Number","11947"
"F8006C01","Population 3 years and over","2016","2016","085","85 years","12","All Irish speakers","Number","3667"
"F8006C01","Population 3 years and over","2016","2016","085","85 years","13","Non-Irish speakers","Number","7770"
"F8006C01","Population 3 years and over","2016","2016","085","85 years","98","Not stated","Number","510"
"F8006C01","Population 3 years and over","2016","2016","086","86 years","07","Population","Number","10331"
"F8006C01","Population 3 years and over","2016","2016","086","86 years","12","All Irish speakers","Number","3280"
"F8006C01","Population 3 years and over","2016","2016","086","86 years","13","Non-Irish speakers","Number","6580"
"F8006C01","Population 3 years and over","2016","2016","086","86 years","98","Not stated","Number","471"
"F8006C01","Population 3 years and over","2016","2016","087","87 years","07","Population","Number","8785"
"F8006C01","Population 3 years and over","2016","2016","087","87 years","12","All Irish speakers","Number","2813"
"F8006C01","Population 3 years and over","2016","2016","087","87 years","13","Non-Irish speakers","Number","5530"
"F8006C01","Population 3 years and over","2016","2016","087","87 years","98","Not stated","Number","442"
"F8006C01","Population 3 years and over","2016","2016","088","88 years","07","Population","Number","7378"
"F8006C01","Population 3 years and over","2016","2016","088","88 years","12","All Irish speakers","Number","2410"
"F8006C01","Population 3 years and over","2016","2016","088","88 years","13","Non-Irish speakers","Number","4600"
"F8006C01","Population 3 years and over","2016","2016","088","88 years","98","Not stated","Number","368"
"F8006C01","Population 3 years and over","2016","2016","089","89 years","07","Population","Number","6421"
"F8006C01","Population 3 years and over","2016","2016","089","89 years","12","All Irish speakers","Number","2048"
